provcd,countyid,cid,age,health,minority,stateown,collective,private,foreign,formal,part_time,mwage_atax,bcollar,wcollar,service,week_whours,employ,familysize,BJ,TJ,HeB,ShX,NMG,LN,JN,HLJ,SH,JS,ZJ,AnH,FJ,JX,ShD,HeN,HuB,HuN,GuD,GuX,HaN,ChQ,SiCh,GuZ,YunN,XZ,ShaX,GS,QinH,NinX,XinJ,lnwage,experience,urban,gender,hukou,spouse,edu,military1,party1,evsmoke1,agri_job,gsubsidy,gsubsidy_amount,subsidy,lnsubsidy,lngsubsidy,employ_w,good_job
北京市,45,624942,52,2,0,1,0,0,0,0,1,3000,0,0,0,40,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,36,1,1,1,1,3,0,1,1,0,0,0,0,0,0,1,0
北京市,45,624942,49,3,0,1,0,0,0,0,1,3000,0,0,0,39,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,33,1,0,1,1,3,0,0,0,0,0,0,0,0,0,1,0
天津市,79,,27,4,0,1,0,0,0,0,1,7000,0,1,0,50,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,1,0,1,1,4,0,0,0,0,0,0,10000,7,0,1,1
河北省,239,,40,3,0,0,0,1,0,0,1,4000,1,0,0,56,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,24,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
湖南省,29,533420,37,2,0,1,0,0,0,0,1,2500,0,1,0,35,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,1,0,1,1,4,0,0,0,0,0,0,50000,8,0,1,1
河北省,363,462546,30,2,0,1,0,0,0,0,1,6000,1,0,0,60,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,1,1,1,1,4,0,0,0,0,0,0,0,0,0,1,0
河北省,53,121400,26,3,0,0,0,0,0,0,0,3000,0,0,1,70,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0
山东省,8257,895177,33,3,0,1,0,0,0,0,1,4000,0,1,0,55,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,1,1,1,1,4,0,1,0,0,0,0,0,0,0,1,1
河北省,48,119400,25,1,0,0,0,0,0,0,1,3200,0,0,1,84,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
河北省,48,119500,44,2,0,0,0,1,0,0,0,3000,0,0,0,54,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,28,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0
